"ref.date","yield.bid","price.bid","asset.code","matur.date"
2009-04-06,0.1027,1023.85,"NTN-F 010710",2010-07-01
2009-04-07,0.1017,1025.32,"NTN-F 010710",2010-07-01
2009-04-08,0.1016,1025.82,"NTN-F 010710",2010-07-01
2009-04-09,0.1018,1026,"NTN-F 010710",2010-07-01
2009-04-13,0.1015,1026.71,"NTN-F 010710",2010-07-01
2009-04-14,0.1017,1026.9,"NTN-F 010710",2010-07-01
2009-04-15,0.1007,1028.35,"NTN-F 010710",2010-07-01
2009-04-16,0.1,1029.48,"NTN-F 010710",2010-07-01
2009-04-17,0.1008,1029.03,"NTN-F 010710",2010-07-01
2009-04-20,0.1029,1027.23,"NTN-F 010710",2010-07-01
2009-04-22,0.1032,1027.31,"NTN-F 010710",2010-07-01
2009-04-23,0.1019,1029.06,"NTN-F 010710",2010-07-01
2009-04-24,0.1019,1029.46,"NTN-F 010710",2010-07-01
2009-04-27,0.1028,1028.93,"NTN-F 010710",2010-07-01
2009-04-28,0.1029,1029.22,"NTN-F 010710",2010-07-01
2009-04-29,0.1016,1030.95,"NTN-F 010710",2010-07-01
2009-04-30,0.1015,1031.45,"NTN-F 010710",2010-07-01
2009-05-04,0.1012,1032.15,"NTN-F 010710",2010-07-01
2009-05-05,0.1012,1032.55,"NTN-F 010710",2010-07-01
2009-05-06,0.1011,1033.04,"NTN-F 010710",2010-07-01
2009-05-07,0.1008,1033.74,"NTN-F 010710",2010-07-01
2009-05-08,0.0992,1035.75,"NTN-F 010710",2010-07-01
2009-05-11,0.0981,1037.24,"NTN-F 010710",2010-07-01
2009-05-12,0.0971,1038.64,"NTN-F 010710",2010-07-01
2009-05-13,0.0966,1039.52,"NTN-F 010710",2010-07-01
2009-05-14,0.0961,1040.4,"NTN-F 010710",2010-07-01
2009-05-15,0.0956,1041.28,"NTN-F 010710",2010-07-01
2009-05-18,0.0957,1041.56,"NTN-F 010710",2010-07-01
2009-05-19,0.0951,1042.53,"NTN-F 010710",2010-07-01
2009-05-20,0.0951,1042.91,"NTN-F 010710",2010-07-01
2009-05-21,0.0947,1043.68,"NTN-F 010710",2010-07-01
2009-05-22,0.096,1042.77,"NTN-F 010710",2010-07-01
